,tweet_id,labels,airline,text,pred
12,568517827482685440,2,US Airways,"@user - love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,",2
14,569270187725160449,0,US Airways,@user you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,0
15,567816651900583936,0,US Airways,@user 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV,0
20,568361346464497664,0,US Airways,@user new problem...had wrong last name on reservation which is airways fixed. New can't get through TSA,0
22,568883826333777920,0,US Airways,@user @user who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck,0
39,569863183961165826,1,US Airways,@user I'm supposed to fly through Dallas. Can you help me get a new itinerary?,1
43,569917765676601344,0,US Airways,@user Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways,0
50,568633911959363586,1,US Airways,@user and that you can choose the same seat for free after clicking 100 buttons.,1
52,569356553977012225,0,US Airways,@user 3hr30min right now...  any end in sight?,0
54,569436595746684929,0,US Airways,@user claims flight Cancelled Flighted due to weather at destination but Delta has not Cancelled Flighted flight on same route.,0
65,568139144515313664,0,US Airways,@user I have to spend more than the cost of the flight just to get a free room and transportation to and from the airport,0
73,567777100112101376,2,US Airways,@user right on. Up. Up &amp; away ✈️🌞,2
76,568117268254568448,1,US Airways,"@user Is it possible to earn Dividend Miles for a passenger that is not me, even if I am purchasing the tickets?",1
78,570255224155348992,1,US Airways,"@user Is there a phone line to call into that isn't being affected by ""bad weather""? Trying to book a vacation, here... 👀",0
80,569533159475277825,0,US Airways,@user F623 DEN:PHX impressive lack of concern by 1hr+ Late Flight flight attndt wrecking havoc on customer travel #smugsmirk #norush,0
90,570042796624777216,0,US Airways,@user Yet another delay/missed connection....and your customer service has an attitude with me? Wow.,0
91,568144060248170496,0,US Airways,@user No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease,0
95,569881062169567232,0,US Airways,@user no my flight plans have been delayed until tuesday due to your computer crash,0
98,569418351295926273,0,US Airways,"@user tough night, two 90 minute calls, on hold, delayed here in Phoenix for two days because of one aircraft not ready? Not acceptable",0
101,569493018081947649,0,US Airways,@user 23 min on hold... Drove 2.5 hours to get my delayed bag. I just want to pick it up at SJU.,0
102,569496068255195137,1,US Airways,@user how do I reserve my seat on the AA flight I transfer to from ORD to EVV?,1
114,568463569458741248,0,US Airways,@user I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error. Awful,0
117,569575780864241664,0,US Airways,@user UR employee named VAN @ ticket counter in #Philadelphia. EXTREMELY RUDE! a Father trying to get home to sick kid missed flight.,0
124,570287589216751616,1,US Airways,@user we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.,0
125,567768450471587840,0,US Airways,@user the phone number the gate gave me doesn't work either. What is your customer service phone number?,0
137,568022411783888896,0,US Airways,@user 5534. That's the flight I was placed on after original flight to Charlotte was Cancelled Flightled.  Now 5534 is on 1hr delay,0
138,568210512405790720,0,US Airways,@user The captain turned off the seat belt sign so people can get up and walk around.  That's not good.,0
144,568794464749264896,2,US Airways,@user made it!!! Send Bloody Mary's to row 27!!!,1
146,570110280635588608,2,US Airways,@user Thank You for your empathy there is more to this story than just the luggage but thank you for reaching out,2
148,567831160978677760,0,US Airways,@user flt 5302 CLT to DAY supposed to depart 5:51; the 6:20...still no crew. #schedule/contact the pilot!,0
152,569585747503611905,0,US Airways,@user @user seriously with all the service issues you are having right now this is what you decide to tweet?? Unbelievable,0
168,567858957546561536,0,US Airways,@user sits on a throne of lies,0
174,568790795253186560,0,US Airways,"@user never let's me down, every. Single. Flight. Gets delayed.",0
175,568846754701058048,1,US Airways,@user me and my wife will be flying out of atlanta to vegas on March 7th since couldn't get any out of tricities here in Tn,1
191,569509505022746624,0,US Airways,@user your people are kind and hardworking the infrastructure you have given them is horrid #massivefail #failphone #fail,0
194,569555930028748800,0,US Airways,@user @user Dont bother. They dont pick up the phone. Worst customer service going,0
196,567769337256484864,0,US Airways,@user flight 1808 is not leaving at 2:45 because we haven't even begun to board yet. Please update your website ASAP,0
212,568624462863720448,0,US Airways,@user doesn't want me to get home,0
213,567732265888006145,0,US Airways,@user The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?,0
215,569183862493810690,1,US Airways,@user @user what about upgrades?,1
216,570308156699611137,1,US Airways,@user never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!,0
219,569945501166133248,1,US Airways,"@user US 728 Wait, now a gate opened. Back we go. (Good, maybe we can get off.)",0
223,569980771424976896,0,US Airways,@user ticket counter people here are not helping and just want to charge more money even after this horrible day.,0
234,569466525297590272,0,US Airways,"@user - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",0
239,569759291839803392,0,US Airways,@user cannot add my frequent flyer number on your website.  Can you help?,0
247,568995213529759745,0,US Airways,@user flight scheduled for 730pm...told at 150am that flight is Cancelled Flightled after sitting on cold plane for 2 hours.,0
250,568922138348019712,0,US Airways,@user @user terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.,0
254,569909641129402368,0,US Airways,@user When I check online it states status closed. What does this mean? As I have yet been able to reach a live person...,0
269,570007297927221249,0,US Airways,@user 4 hours on tarmac in Charleston and still can't get a response after a week. Unacceptable,0
288,570304445336178688,0,US Airways,@user ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,0
291,569359793800024064,0,US Airways,"@user My wife, sick 3yr-old-twins, and I have been waiting in line now for 2hrs to see an agent! Phone agent said nothing til Tuesday!",0
294,568594726317887488,0,US Airways,"@user Seriously, flight delay Cinci to Philly due to new ground staff, miss connection to MAN UK and now have to argue for hotel. WTF",0
296,568897700315435008,1,US Airways,@user How do I redeem my pass to the admirals club? I have 1 free visit with my barclay card membership. And can I bring a companion?,1
297,570043569605648385,0,US Airways,@user #FAILINGYOURCUSTOMER ONE BY ONE,0
301,569544122098446337,0,US Airways,@user flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(,0
314,567832153670705152,2,US Airways,@user Thanks. It would be better from the gate agent at C14 in Charlotte boarding flight 1791.,2
316,568592695699976192,0,US Airways,@user  #USAirways disappoints AGAIN! #Cancelled Flighted flights #Missed appointments #Promised refund is a lie,0
325,568514794287796224,0,US Airways,@user please secure the 'footrest' shelf' in business class on A330 airplanes!!! http,1
330,567818509650124800,0,US Airways,@user They're all reservations numbers and none are in Hungary. And my phone not working here. You make it too difficult.,0
337,569713111537717248,0,US Airways,"@user #PHL why does it take an hour to offload bags, especially after taking 30+ min to get a jetway to get off plane after landing?",0
340,567803306928775168,0,US Airways,@user won't waive $200 fee due to #neptune. Can't use credit w/o paying fee. Couldnt get to destination to use their tic #waivethefee,0
341,568895061284364288,0,US Airways,"Is it insulting that @user @user offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip",0
342,568620349027323905,0,US Airways,"@user I can't even use my return flight home because the change fees you charge are too expensive, forcing me to purchase a new ticket.",0
344,567745702231830529,0,US Airways,@user cust serv reps who are unable to change reservations in your system Check in unaware of Cancelled Flights that I got word on night before,0
350,569678919307280384,1,US Airways,@user do you have an email??,1
356,570197883716300800,0,US Airways,@user Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head,0
358,567732946241470464,0,US Airways,@user still crickets from customer service.,0
363,569377633894445056,0,US Airways,@user Charlotte Staff needs prayer....disappointed in response to mishaps ......lotttttttt of pissed off people here!!!!,0
366,569600757516914688,0,US Airways,@user thanks for being so bad you make a two day train trip look appealing!!,0
370,569884559380238336,0,US Airways,"@user @user call the number listed? sure! by next Friday, I should get a real live person on the line http",0
375,569951021398683650,0,US Airways,@user im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times,0
376,569152792314687488,0,US Airways,@user I've been on hold for approaching 2 hrs for an issue when I changed my ticket online. Frustrating.,0
379,568004984937287680,0,US Airways,"@user lack of communication with other offices, the customer, &amp; yall never update ur systems. U guys are 2 established 4 this mess",0
387,568905470502670336,0,US Airways,@user is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?,0
409,569969045946175490,0,US Airways,@user what happens if it isn't located,0
411,569526164575924225,2,US Airways,"@user please thank Mellie at CAE, Tammy in baggage claim at CLT 4 #excellent customer service 2day, BUT I have a complaint.",2
414,569366960871333889,0,US Airways,@user you airline is doing rather poor right now. In SLC waiting to take off. Was suppose to take off now 2 hours and 3 minutes ago!,0
415,569387005131546624,0,US Airways,@user three hours on hold then disconnected. Conf EBHSET. Need to be home Sunday for interview,0
416,570018836239364096,0,US Airways,@user what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.,0
418,569943345000280064,0,US Airways,"@user US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange.",0
421,568076483664568320,0,US Airways,@user flight is delayed 5 hours. No reason given. Sure love flying with your airline. #whatajoke,0
426,568276831134191618,0,US Airways,@user I waited on hold for too long. I shouldn't have to wait on hold forever when I never received a confirm. in the 1st place #help,0
438,568811771315814401,2,US Airways,@user thank you!,2
439,568469645843279872,2,US Airways,"@user #success made flight , please thank the crew of 556 great time recovery",2
446,568016802191683586,0,US Airways,"@user 1st a reaccommodation, now a delayed flight for this one.  &amp; the Gate Agent still hasn't mumbled a word. Folks getting anxious.",0
447,567894427244589056,2,US Airways,@user Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight,2
450,569959975566467072,0,US Airways,@user I find it funny that @user responds but you don't. Your customer service is the worst. #wedontcarebecauseyoupaidalready,0
454,568454321219596289,0,US Airways,"@user sorry, I meant flight 4420, which was supposed to depart at 5:00, now says 6:30. What is the issue?",0
464,567728386014183424,0,US Airways,@user you have the ability to switch my flight to @user but you cannot tell me where my bags are.,0
465,569620355783925760,0,US Airways,@user made it to the Bahamas for work but my luggage didn't. I know #travel happens but is there anyway I can get more help/info?,0
466,569870924410970112,0,US Airways,@user I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly,0
470,568057241435303936,0,US Airways,",@USAirways 2nd time this occurred in 3 weeks. I'm not patient. I have no choice.  #Antitrust issue",0
479,570104704241307649,0,US Airways,@user flt 1820 2rsw could have extended the courtsey of waiting 2min 4 10 of us.... gates closed in r faces.  Ur fired,0
480,568039715699609600,1,US Airways,@user last name Pordes,1
483,570289532953874432,1,US Airways,"@user If I know I left something on my last flight (as I literally had to run to make my connection), how can I retrieve it please?",1
490,568058820376854528,0,US Airways,@user so the seat next to me (19B) on flight 1943 to Seattle has a tray table that is falling off... http,0
492,569556807703764992,0,US Airways,@user is the @user of airlines #2hrs35minOnHold,0
504,568815766474244096,2,US Airways,"@user 
Good news, we got fixed.",2
505,568541894076026881,1,US Airways,@user any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or...,1
509,569989043456380928,0,US Airways,@user your airway is a joke. I have never dealt with worse service,0
513,569961070519050240,0,US Airways,@user 1-2! Rock hit the plane! In a delay now! Never an easy day with US Airways! Ya never fail to let me down!,0
520,569484638219071488,0,US Airways,@user @user  is there anyone answering phones today??? Listening to same damn messages for 1:10 minutes,0
528,568167414493532161,0,US Airways,"@user ""admirals club"" at CLT has rude, and ignorant front desk staff...@AmericanAir you have fallen so far...THANKS DOUG PARKER!!!",0
546,567763697230438400,0,US Airways,"@user me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed",0
