,tweet_id,airline,text,sentiment,pred
0,5.696820102701015e+17,American,@AmericanAir In car gng to DFW. Pulled over 1hr ago - very icy roads. On-hold with AA since 1hr. Can't reach arpt for AA2450. Wat 2 do?,0.0,0
1,5.696083071842426e+17,American,"@AmericanAir after all, the plane didn’t land in identical or worse) conditions at GRK according to METARs.",0.0,1
2,5.67879304593408e+17,Southwest,@SouthwestAir can't believe how many paying customers you left high and dry with no reason for flight Cancelled Flightlations Monday out of BDL! Wow.,0.0,0
3,5.697576515396608e+17,US Airways,@USAirways I can legitimately say that I would have rather driven cross country than flown on US Airways.,0.0,0
4,5.699007058526085e+17,American,@AmericanAir still no response from AA. great job guys!,0.0,0
5,5.69235062862037e+17,United,"@united we have developers flying down tmrw morn. w/45 min layover, there is an earlier flight to have 1.5hr layover, can move them up?",0.0,1
6,5.698244222799504e+17,US Airways,@USAirways hello??? Anyone there?,1.0,1
7,5.6788041620129376e+17,US Airways,@USAirways @husainhaqqani Mr. Husain u shld protest as well when one of ur party member Rehman Malik delayed a PIA flight for hours..???,0.0,0
8,5.700219438998774e+17,US Airways,"@USAirways not likely, flightaware says plane is still in Durango and hasn't departed.",0.0,1
9,5.6969066402946246e+17,American,@AmericanAir they don't even give an option to hold.. Just say lines are busy Plz try Late Flightr,0.0,0
10,5.702712053007032e+17,United,@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?,1.0,1
11,5.699964463485174e+17,US Airways,@USAirways it is really embarrassing when asking for complimentary drink/snack detailed here: https://t.co/9zA6xb1h89 &amp; being argued with.,0.0,0
12,5.6810548101882266e+17,Southwest,@SouthwestAir I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,0.0,1
13,5.7027501075910246e+17,American,@AmericanAir this delayed bag was for my friend Lisa Pafe. She got her bag after 3 days in Costa Rica. Issue no updates on your system.,0.0,0
14,5.68085e+17,Southwest,@SouthwestAir Didn't see travel had to be compete for unused funds by expiration date hidden in the fine print. Never saw that before.,0.0,1
15,5.699810153781125e+17,US Airways,"@USAirways awesome... Doors close in 2 minutes, flight leaves in 17 minutes... And the plane just got here. WTH?",2.0,0
