,tweet_id,labels,airline,text,pred
16,569690131235340288,0,American,@user no private msg me and will provide details...u really need customer svc training for your staff,0
19,569958224968982528,0,American,@user I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!,0
29,570022265343123456,2,American,@user everything for sorted out. Thanks for the help. Excited to get home tonight!,2
30,569658725016809472,0,American,@user understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day,0
34,569917117576949760,0,American,@user We've 15 official complaints signed by #AmericanAirlines Lima supervisor. Customer Relations pls compensate 4 the 10-hour delay,0
40,570269633778855936,0,American,@user so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,0
56,569852965315584000,0,American,@user haha I did. They said it wasn't their fault somehow? You guys r a joke,0
57,569818121302896640,0,American,@user your customer service is inferior to that of a nationalized third world nation's airline. Get it together.,0
58,569660166959865856,0,American,@user Why does your iPhone app not have any sort of notifications option?,0
60,569917869296758784,0,American,@user I've been trying to reach your customer service for TWO days. I have received zero response. Never traveling AA again.,0
67,569683872046194688,1,American,"@user My friend needs some help on her flt (she's not on Twiiter), can I DM you her info?",1
68,569754550187352064,0,American,@user my mom’s flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and it’s been 4. I need to go to bed!,0
69,570087510941962241,0,American,@user flight veers off icy runway at @user Most DFW flights Cancelled Flighted Mon http @user figures right?,0
79,569718904131420161,0,American,@user I have never seen such incompetency from a gate agent in years of business travel DFW B16 gate agent needs training or new job,0
84,569890213570457600,2,American,@user finally called! Can't get met Seattle so refund will be processed. Thanks,2
107,570287747643998208,0,American,"@user That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this.",0
110,569683974748033026,0,American,@user dropping the ball. Again. No catering. Plane switch. No gate attendant. 2 hours Late Flight. Really nice.,0
111,570284054605639683,0,American,@user good care of their customers if anything happen to then take you @user  for getting me back to NYC !! Screw you @user,0
112,570298285350629376,1,American,@user I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃,0
119,569978298765344769,0,American,"@user for tomorrow some sites show flight 1642 from ewr Cancelled Flightled, is it?",1
122,569946012988669954,0,American,@user Unbelievable that I cannot even wait on hold to speak to a human being to resolve my issue!!!!!!!! The system simply hangs up!,0
123,570282555057909760,2,American,"@user continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh.",2
127,570137359787827201,0,American,"@user yes but you are still human I hope, dealing with all the horror stories people share... I complained to DOT. Everyone should",0
140,569589959088173056,0,American,"@user Call me Chairman, or call me Emerald. After what you did today to me, you can call me a former customer.",0
143,569617808885096448,0,American,"@user no one received text alerts, automated calls, anything either. Literally no information as to what was happening.",0
151,569691521454223361,0,American,@user no you're not you're trying to book me PAST when i need 2 arrive but you're still selling seats on the day I'm trying 2 travel,0
153,570123136542224384,1,American,@user will do. I also passed the website around to other passengers.,1
155,570090452809949184,1,American,@user well we cleared customs in AUH. I need to get to IAH after I arrive in DFW. Is it possible to retrieve my luggage in IAD?,1
157,569607661655715841,0,American,"@user flights been Cancelled Flightled, can't get through to the desk and nothing showing online under my reservation - what do I do?",0
158,570033429816999936,0,American,@user @user - I'm pregnant with twins and you're going to abandon me overnight in an airport? No hotel? When it's your fault?,0
171,569701189199089664,0,American,@user My ex-boyfriend picks up my calls more than you do! #Cancelled Flightedflight #nocustomerservice #americanairlines #FAIL,0
180,569714755109294080,1,American,@user no worries you're swamped I know just dmd back THANK U,2
183,569999640516370432,0,American,@user I've never had anything bad to say until now. No love for faithful customers.,0
186,570237269753376768,1,American,@user Connection is US2065,1
188,569634454924357632,0,American,"@user while I'm sensitive to this fact, I don't believe that warrants poor service. A little help &amp; compassion goes a long way.",0
195,570097456786104320,1,American,@user Are you expecting any delays out of #DFW tomorrow morning?,1
197,569895082402295810,0,American,@user what an incredibly arrogant thing to say while I sit here at O'Hare waiting for your incompetent airlines to refuel on a...,0
207,569601869598867456,2,American,@user You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!,2
208,570173690475728896,0,American,@user you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd,0
