,tweet_id,labels,airline,text,pred
2,568089179520954368,2,United,"@user Flew ORD to Miami and back and  had great crew, service on both legs. THANKS",2
4,568594180014014464,0,United,"@user so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed.",0
5,569677636613439488,0,United,@user Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,0
8,570116209263427584,0,United,"@user frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United.",0
23,570055700790931456,0,United,@user computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,0
24,568804026789138433,2,United,@user good fly!! #United #businessFirst,2
25,567925054853496832,1,United,"@user I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?",1
27,570083397873373184,0,United,"@user In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.",0
32,569098396914421763,0,United,@user it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA,1
36,569625953602834433,0,United,"@user the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?",0
41,569808684252942336,2,United,@user I am impressed with your super-fast reply to @user,2
42,569336252597731329,0,United,@user no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,0
45,569271561481531392,1,United,@user can I get your service desk # at IAD?,1
47,568462177415372801,2,United,@user Yes ! :D (Y) From @user on Instagram :),2
51,570101817041747968,0,United,@user plus what about food? And taxis?,1
59,569907141596864514,2,United,@user thank you!,2
61,567767744356294656,0,United,@user flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on,0
62,568964974611193858,0,United,"@user first you lost all my bags, now you Cancelled Flight my flight home. 30 min wait to talk to somebody #poorservice #notgoodenough",0
70,567788423352950784,1,United,@user Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http,1
71,569364927191719937,0,United,"@user yo, you need a new website really badly. This day and age...",0
74,569769708569767936,0,United,@user Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),0
81,570285578563891200,1,United,@user Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?,1
82,568473140654788609,0,United,"@user even so, change could not be made  online- instructed to call an agent- maybe the syastem should allow agents 2 link passengers!",0
83,568246093856641024,0,United,"@user you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't",0
85,567750428595871745,1,United,"@user just played the Most bizarre ""safety"" video I've ever seen... http",0
